Question,Category,PredictedAnswer,GroundTruth,Similarity,ErrorType
What was John Archibald Ballard's occupation?,factual,I don't know.,"Lieutenant General John Archibald Ballard, CB LLD RE (20 June 1829 – 1 April 1880) was a British soldier.",-0.014494253322482109,Generation failure
What did the WannaCry ransomware attack refer to?,factual,I don't know.,"The WannaCry ransomware attack was a worldwide cyberattack in May 2017 by the WannaCry ransomware cryptoworm, which targeted computers running the Microsoft Windows operating system by encrypting data and demanding ransom payments in the form of bitcoin cryptocurrency.",0.12587489187717438,Generation failure
What does Lazarus Group refer to?,factual,I don't know.,"The Lazarus Group (also known as the Guardians of Peace or Whois Team) is a state-sponsored hacker group made up of unknown members, alleged to be run by the government of North Korea.",0.15257903933525085,Generation failure
What is Kollam Port or Port of Quilon?,factual,Kollam Port,Kollam Port or Port of Quilon is one of the oldest ports (established in AD 825) situated 4 kilometres (2.5 mi) away from Downtown Kollam (formerly Quilon) It is the third largest port in Kerala by volume of cargo handled and facilities and one of the four Kerala ports having immigration checkpoint (ICP) facility.,0.670184850692749,Success
What does Anil K. Jain (born 1948) refer to?,factual,"Early life and education == Born in Basti, India, Jain received his Bachelor of Technology in electrical engineering from the Indian Institute of Technology, Kanpur in 1969. He then moved to the United States, where he earned his M.S. in 1970 and Ph.D. in 1973 from Ohio State University.",Anil Kumar Jain (born 1948) is an Indian-American computer scientist and University Distinguished Professor in the Department of Computer Science and Engineering at Michigan State University.,0.5274770855903625,Generation failure
What does Tamal Dey refer to?,factual,I don't know.,Tamal Krishna Dey (born 1964) is an Indian mathematician and computer scientist specializing in computational geometry and computational topology.,0.03820154070854187,Generation failure
What does the Lascar War Memorial refer to?,factual,chhajjas and trellises,"The Lascar War Memorial, located on Napier Road in the Hastings area of Kolkata, is a memorial dedicated to the memory of the 896 lascars (sailors from the Indian subcontinent) who died serving on ships of the Royal Navy and British Merchant Service during World War I.",0.06315012276172638,Generation failure
What was Vaidyeswaran Rajaraman known for?,factual,I don't know.,"Vaidyeswaran Rajaraman (8 September 1933 – 8 November 2025) was an Indian computer scientist, academic and writer known for his pioneering efforts in the field of Computer Science Education in India.",0.05939715728163719,Generation failure
What is Namasivayam Gautham's occupation?,factual,Kerala,"Namasivayam Gautham (born 1955) is a retired Professor Emeritus at the Centre of Advance Study in Crystallography and Biophysics, University of Madras.",0.2390386313199997,Generation failure
What does Vijay Kumar (Roboticist) refer to?,factual,I don't know.,Vijay Kumar (born 1962) is an Indian roboticist.,0.04663356393575668,Generation failure
What did the Political history of Mysore and Coorg (1565–1760) refer to?,factual,£1 per hectare,The political history of the region on the Deccan Plateau in west-central peninsular India (Map 1) that was later divided into Mysore state and Coorg province saw many changes after the fall of the Hindu Vijayanagara Empire in 1565.,-0.050930432975292206,Generation failure
"What was the name of the mob that lynched two Hindu Sadhus and their driver in Gadchinchale Village, Palghar District, Maharashtra, India on 16 April 2020?",factual,I don't know.,"On 16 April 2020, a vigilante group lynched two Hindu Sadhus and their driver in Gadchinchale Village, Palghar District, Maharashtra, India.",0.12481793016195297,Generation failure
"What did the Sri Ram Sena attack on a group of young women and men in a pub in Mangalore, India?",factual,I don't know.,"On 24 January 2009, the Sri Ram Sena attacked a group of young women and men in a pub in Mangalore, India.",0.034867774695158005,Generation failure
What does History of Bengaluru refer to?,factual,I don't know.,Bengaluru is the capital city of the state of Karnataka.,0.02743120864033699,Generation failure
What year was Manju Bansal born?,factual,I don't know.,1 December 1950) has specialized in the field of Molecular biophysics.,-0.02308262139558792,Generation failure
What is Nagavara Ramarao Narayana Murthy's occupation?,factual,Shri awards,Nagavara Ramarao Narayana Murthy (born 20 August 1946) is an Indian billionaire businessman.,0.29824090003967285,Generation failure
What did the City Wall of Hyderabad refer to?,factual,The City Wall of Hyderabad,"The City Wall of Hyderabad was a city wall surrounding Hyderabad, although the city has expanded significantly beyond the wall.",0.7791737914085388,Success
What does the Hebbal-Kittayya inscription refer to?,factual,I don't know.,"Hebbal is a locality situated in the northern part of Bengaluru, is recognized as one of Bengaluru’s oldest regions, with documented history extending back at least 1,300 years.",0.05059036985039711,Generation failure
What is the name given by researchers at the Information Warfare Monitor to a large-scale cyber spying operation discovered in March 2009?,factual,I don't know.,GhostNet (simplified Chinese: 幽灵网; traditional Chinese: 幽靈網; pinyin: YōuLíngWǎng) is the name given by researchers at the Information Warfare Monitor to a large-scale cyber spying operation discovered in March 2009.,0.05424686521291733,Generation failure
What is the name given by Microsoft to a cybercrime collective active against governments and related organizations in South and Southeast Asia?,factual,web plugins,PLATINUM is the name given by Microsoft to a cybercrime collective active against governments and related organizations in South and Southeast Asia.,0.1086416020989418,Generation failure
What does History of Faizabad refer to?,factual,I don't know.,"Local tradition holds Fyzabad or now Faizabad is identical with Saketa of the Ramayana, supposedly the private estate of King Dasharatha, the father of Rama.",-0.01532820612192154,Generation failure
"What did WazirX, an Indian cryptocurrency exchange, do on July 18, 2024?",factual,I don't know.,"On July 18, 2024, WazirX, an Indian cryptocurrency exchange was hacked, leading to the loss of approximately $234.9 million (around Rs 2000 crore) in investor funds.",0.08033722639083862,Generation failure
What does Paranandi Venkata Suryanarayana Rao refer to?,factual,I don't know.,"Paranandi Venkata Suryanarayana Rao is an Indian computer scientist, known for his research in the fields of speech and script recognition and is credited with contributions to the development of TIFRAC, the first indigenously developed electronic computer in India.",0.06795600056648254,Generation failure
What does Sivaji Bandyopadhyay refer to?,factual,I don't know.,Sivaji Bandyopadhyay is an Indian academic and is currently the Chairperson and former Director of National Institute of Technology Silchar.,0.014936447143554688,Generation failure
